codiceSIM;tipoSIM
SIM00000001;eSIM
SIM00000002;eSIM
SIM00000003;nanoSIM
SIM00000004;nanoSIM
SIM00000005;eSIM
SIM00000006;microSIM
SIM00000007;standard
SIM00000008;nanoSIM
SIM00000009;nanoSIM
SIM00000010;microSIM
SIM00000011;nanoSIM
SIM00000012;nanoSIM
SIM00000013;microSIM
SIM00000014;eSIM
SIM00000015;nanoSIM
SIM00000016;microSIM
SIM00000017;eSIM
SIM00000018;microSIM
SIM00000019;standard
SIM00000020;nanoSIM
SIM00000021;standard
SIM00000022;microSIM
SIM00000023;microSIM
SIM00000024;nanoSIM
SIM00000025;microSIM
SIM00000026;nanoSIM
SIM00000027;nanoSIM
SIM00000028;standard
SIM00000029;standard
SIM00000030;standard
SIM00000031;eSIM
SIM00000032;standard
SIM00000033;eSIM
SIM00000034;nanoSIM
SIM00000035;eSIM
SIM00000036;standard
SIM00000037;standard
SIM00000038;standard
SIM00000039;eSIM
SIM00000040;eSIM
SIM00000041;standard
SIM00000042;eSIM
SIM00000043;standard
SIM00000044;standard
SIM00000045;nanoSIM
SIM00000046;nanoSIM
SIM00000047;eSIM
SIM00000048;nanoSIM
SIM00000049;standard
SIM00000050;eSIM
SIM00000051;standard
SIM00000052;nanoSIM
SIM00000053;nanoSIM
SIM00000054;standard
SIM00000055;microSIM
SIM00000056;microSIM
SIM00000057;eSIM
SIM00000058;nanoSIM
SIM00000059;nanoSIM
SIM00000060;microSIM
SIM00000061;microSIM
SIM00000062;standard
SIM00000063;standard
SIM00000064;standard
SIM00000065;standard
SIM00000066;eSIM
SIM00000067;microSIM
SIM00000068;nanoSIM
SIM00000069;nanoSIM
SIM00000070;microSIM
SIM00000071;microSIM
SIM00000072;standard
SIM00000073;eSIM
SIM00000074;nanoSIM
SIM00000075;microSIM
SIM00000076;nanoSIM
SIM00000077;eSIM
SIM00000078;microSIM
SIM00000079;eSIM
SIM00000080;nanoSIM
SIM00000081;nanoSIM
SIM00000082;eSIM
SIM00000083;microSIM
SIM00000084;nanoSIM
SIM00000085;standard
SIM00000086;standard
SIM00000087;eSIM
SIM00000088;nanoSIM
SIM00000089;microSIM
SIM00000090;microSIM
SIM00000091;eSIM
SIM00000092;microSIM
SIM00000093;eSIM
SIM00000094;eSIM
SIM00000095;standard
SIM00000096;standard
SIM00000097;nanoSIM
SIM00000098;microSIM
SIM00000099;standard
SIM00000100;nanoSIM
SIM00000101;nanoSIM
SIM00000102;eSIM
SIM00000103;microSIM
SIM00000104;standard
SIM00000105;nanoSIM
SIM00000106;eSIM
SIM00000107;eSIM
SIM00000108;microSIM
SIM00000109;standard
SIM00000110;standard
SIM00000111;standard
SIM00000112;nanoSIM
SIM00000113;microSIM
SIM00000114;standard
SIM00000115;standard
SIM00000116;standard
SIM00000117;standard
SIM00000118;microSIM
SIM00000119;nanoSIM
SIM00000120;microSIM
SIM00000121;eSIM
SIM00000122;eSIM
SIM00000123;eSIM
SIM00000124;standard
SIM00000125;nanoSIM
SIM00000126;eSIM
SIM00000127;microSIM
SIM00000128;nanoSIM
SIM00000129;eSIM
SIM00000130;microSIM
SIM00000131;microSIM
SIM00000132;eSIM
SIM00000133;eSIM
SIM00000134;microSIM
SIM00000135;nanoSIM
SIM00000136;microSIM
SIM00000137;nanoSIM
SIM00000138;nanoSIM
SIM00000139;eSIM
SIM00000140;nanoSIM
SIM00000141;eSIM
SIM00000142;nanoSIM
SIM00000143;nanoSIM
SIM00000144;microSIM
SIM00000145;eSIM
SIM00000146;nanoSIM
SIM00000147;standard
SIM00000148;nanoSIM
SIM00000149;microSIM
SIM00000150;standard
SIM00000151;eSIM
SIM00000152;microSIM
SIM00000153;microSIM
SIM00000154;standard
SIM00000155;microSIM
SIM00000156;microSIM
SIM00000157;nanoSIM
SIM00000158;microSIM
SIM00000159;eSIM
SIM00000160;microSIM
SIM00000161;eSIM
SIM00000162;nanoSIM
SIM00000163;eSIM
SIM00000164;standard
SIM00000165;nanoSIM
SIM00000166;standard
SIM00000167;standard
SIM00000168;microSIM
SIM00000169;nanoSIM
SIM00000170;standard
SIM00000171;standard
SIM00000172;eSIM
SIM00000173;microSIM
